,index,majority,shortest_path,shortest_restricted_path,relative_increase,absolute_increase,n_cameras,id_year,year,id_race,race,household_income_by_race,household_income_by_race_moe,geography,id_geography
303,Census Tract 7403,white,1537.394651900288,1537.394651900288,0.0,0.0,0.0,2022,2022,0,Total,122063,32705.000000000004,Census Tract 7403,14000US17031740300
304,Census Tract 2227,white,596.1250569325828,603.5792484430476,0.012504408972206423,7.454191510464852,1.0,2022,2022,0,Total,80391,9946.0,Census Tract 2227,14000US17031222700
305,Census Tract 2212,white,532.2441260477681,551.1918069003702,0.035599605379020446,18.94768085260216,1.2544418075322101,2022,2022,0,Total,128243,16046.0,Census Tract 2212,14000US17031221200
306,Census Tract 1607,white,296.79655991603295,318.9251303928533,0.07455804232731261,22.128570476820357,0.42853016671664873,2022,2022,0,Total,92614,35247.0,Census Tract 1607,14000US17031160700
307,Census Tract 2222,white,388.866560688286,389.2874561595741,0.0010823647848330212,0.42089547128813365,0.08459380654745442,2022,2022,0,Total,184727,34990.0,Census Tract 2222,14000US17031222200
308,Census Tract 3405,white,319.158522306093,321.0464697015273,0.005915390827708026,1.8879473954343098,0.1039077006986868,2022,2022,0,Total,57720,20523.0,Census Tract 3405,14000US17031340500
309,Census Tract 3403,white,440.9231169164346,440.9231169164346,0.0,0.0,0.0,2022,2022,0,Total,47519,12804.0,Census Tract 3403,14000US17031340300
310,Census Tract 3504,white,273.528571177467,273.528571177467,0.0,0.0,0.0,2022,2022,0,Total,22292,12998.0,Census Tract 3504,14000US17031350400
311,Census Tract 7505,black,641.7417356340945,642.5664896142846,0.0012851805241794459,0.824753980190053,0.3756917965849063,2022,2022,0,Total,52880,29440.0,Census Tract 7505,14000US17031750500
312,Census Tract 7504,white,1193.4363298554988,1193.4363298554988,0.0,0.0,0.0,2022,2022,0,Total,104009,17197.0,Census Tract 7504,14000US17031750400
313,Census Tract 7502,black,1268.4949039466853,1268.4949039466853,0.0,0.0,0.0,2022,2022,0,Total,75250,33237.0,Census Tract 7502,14000US17031750200
314,Census Tract 4302,black,565.617500372008,576.6623891942056,0.019527134176247046,11.044888822197663,0.48238374654234667,2022,2022,0,Total,33183,9442.0,Census Tract 4302,14000US17031430200
315,Census Tract 6608,white,572.7510130501262,587.4712833856508,0.02570099397490962,14.720270335524674,1.1178354515379447,2022,2022,0,Total,41099,11220.0,Census Tract 6608,14000US17031660800
